"filename", "language", "HTML", "JavaScript", "JavaScript JSX", "pip requirements", "Markdown", "Python", "PostCSS", "JSON", "comment", "blank", "total"
"d:\AthLead\Athlead-client\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\AthLead\Athlead-client\index.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"d:\AthLead\Athlead-client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4202, 0, 1, 4203
"d:\AthLead\Athlead-client\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 41, 0, 1, 42
"d:\AthLead\Athlead-client\src\App.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\AthLead\Athlead-client\src\Components\EventCard.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 1, 5, 73
"d:\AthLead\Athlead-client\src\Components\EventDetails.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 0, 4, 71
"d:\AthLead\Athlead-client\src\Components\FaqItem.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"d:\AthLead\Athlead-client\src\Components\Footer.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
"d:\AthLead\Athlead-client\src\Components\Navbar.jsx", "JavaScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 2, 10, 113
"d:\AthLead\Athlead-client\src\Components\NewsCard.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"d:\AthLead\Athlead-client\src\api\axios.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\AthLead\Athlead-client\src\assets\assets.js", "JavaScript", 0, 398, 0, 0, 0, 0, 0, 0, 0, 13, 411
"d:\AthLead\Athlead-client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 47, 0, 1, 9, 57
"d:\AthLead\Athlead-client\src\main.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\AthLead\Athlead-client\src\pages\Announcement.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"d:\AthLead\Athlead-client\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 170, 0, 0, 0, 0, 0, 0, 7, 177
"d:\AthLead\Athlead-client\src\pages\EventSignup.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 21, 18, 192
"d:\AthLead\Athlead-client\src\pages\Events.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 1, 13, 66
"d:\AthLead\Athlead-client\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 106, 0, 0, 0, 0, 0, 1, 15, 122
"d:\AthLead\Athlead-client\src\pages\Layout.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\AthLead\Athlead-client\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 0, 0, 11, 92
"d:\AthLead\Athlead-client\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, 142, 0, 0, 0, 0, 0, 0, 14, 156
"d:\AthLead\Athlead-client\src\pages\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\AthLead\Athlead-client\src\utility\Utils.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\AthLead\Athlead-client\src\utility\cn.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\AthLead\Athlead-client\vite.config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"d:\AthLead\Backend\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\AthLead\Backend\controllers\newsController.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 4, 4, 29
"d:\AthLead\Backend\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\AthLead\Backend\middleware\middleware.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\AthLead\Backend\models\Event.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\AthLead\Backend\models\Users.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\AthLead\Backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1530, 0, 1, 1531
"d:\AthLead\Backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"d:\AthLead\Backend\routes\eventRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\AthLead\Backend\routes\userRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\AthLead\ML\api.py", "Python", 0, 0, 0, 0, 0, 38, 0, 0, 0, 14, 52
"d:\AthLead\ML\requirements.txt", "pip requirements", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 49
"d:\AthLead\ML\train_model.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 9, 10, 44
"d:\AthLead\README.md", "Markdown", 0, 0, 0, 0, 15, 0, 0, 0, 0, 11, 26
"Total", "-", 12, 525, 1188, 49, 15, 63, 47, 5795, 42, 216, 7952